age,gender,Q3,Q4,Q5,Q6
35-39,Man,Other,Master’s degree,Other,< 1 years
18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years
22-24,Man,United States of America,Bachelor’s degree,Student,1-2 years
45-49,Man,Italy,Doctoral degree,Other,20+ years
22-24,Man,India,Master’s degree,Data Scientist,3-5 years
18-21,Man,India,Bachelor’s degree,Data Analyst,1-2 years
22-24,Woman,India,Bachelor’s degree,Student,< 1 years
22-24,Man,Belgium,Master’s degree,Student,1-2 years
35-39,Woman,Taiwan,Master’s degree,Software Engineer,10-20 years
35-39,Man,China,Master’s degree,Data Analyst,3-5 years
22-24,Man,Tunisia,Bachelor’s degree,Software Engineer,5-10 years
18-21,Woman,Turkey,Doctoral degree,Other,< 1 years
30-34,Man,Taiwan,Master’s degree,Data Engineer,< 1 years
30-34,Man,United States of America,Master’s degree,Other,1-2 years
35-39,Man,Singapore,Master’s degree,Data Scientist,
22-24,Man,Malaysia,Some college/university study without earning a bachelor’s degree,Other,< 1 years
22-24,Man,Other,Master’s degree,Student,< 1 years
25-29,Man,United States of America,Master’s degree,Student,1-2 years
22-24,Man,China,Master’s degree,Student,< 1 years
25-29,Man,Israel,Master’s degree,Machine Learning Engineer,5-10 years
30-34,Man,Thailand,,,
22-24,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Student,< 1 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Man,India,Professional degree,Software Engineer,< 1 years
30-34,Man,Germany,Doctoral degree,Research Scientist,10-20 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Woman,United States of America,Master’s degree,Student,3-5 years
45-49,Woman,Germany,Master’s degree,Machine Learning Engineer,< 1 years
55-59,Man,Japan,Some college/university study without earning a bachelor’s degree,Data Analyst,1-2 years
25-29,Woman,France,Doctoral degree,Student,5-10 years
50-54,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
30-34,Man,Brazil,Doctoral degree,Student,3-5 years
25-29,Man,Other,Master’s degree,Other,5-10 years
22-24,Woman,Egypt,Master’s degree,Software Engineer,3-5 years
22-24,Man,India,Master’s degree,Student,< 1 years
30-34,Man,Other,Master’s degree,Software Engineer,3-5 years
35-39,Man,Other,Bachelor’s degree,Data Analyst,3-5 years
22-24,Man,China,Master’s degree,,
22-24,Man,Italy,Master’s degree,Statistician,3-5 years
18-21,Man,Ukraine,Bachelor’s degree,Other,1-2 years
40-44,Man,Japan,Master’s degree,Data Scientist,3-5 years
22-24,Man,Thailand,Bachelor’s degree,Software Engineer,3-5 years
22-24,Man,India,Bachelor’s degree,Currently not employed,1-2 years
18-21,Man,India,Bachelor’s degree,,
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Man,India,Bachelor’s degree,Student,3-5 years
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,1-2 years
22-24,Man,Brazil,Master’s degree,Research Scientist,1-2 years
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Currently not employed,3-5 years
35-39,Prefer not to say,Mexico,Bachelor’s degree,Data Scientist,10-20 years
45-49,Man,Nigeria,Bachelor’s degree,Currently not employed,I have never written code
25-29,Woman,Poland,Master’s degree,Software Engineer,5-10 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-2 years
22-24,Man,Tunisia,Bachelor’s degree,Other,3-5 years
25-29,Man,Singapore,Bachelor’s degree,Student,3-5 years
35-39,Man,Other,Master’s degree,Software Engineer,5-10 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years
50-54,Man,Other,,,
18-21,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years
55-59,Man,United States of America,Master’s degree,Software Engineer,20+ years
45-49,Man,Other,Master’s degree,Software Engineer,10-20 years
25-29,Man,India,Bachelor’s degree,Business Analyst,3-5 years
40-44,Man,Other,Doctoral degree,Other,20+ years
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
30-34,Man,Ukraine,Doctoral degree,Data Scientist,10-20 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
25-29,Man,United States of America,Master’s degree,Data Scientist,3-5 years
50-54,Woman,Egypt,Bachelor’s degree,Business Analyst,3-5 years
18-21,Man,India,,,
45-49,Man,Mexico,Master’s degree,Other,< 1 years
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
22-24,Man,China,Master’s degree,Student,3-5 years
30-34,Man,United States of America,Master’s degree,Data Engineer,5-10 years
50-54,Man,India,Bachelor’s degree,Software Engineer,10-20 years
25-29,Man,Taiwan,Master’s degree,Statistician,5-10 years
40-44,Man,Brazil,Master’s degree,Other,20+ years
22-24,Woman,Morocco,,,
22-24,Man,India,Bachelor’s degree,Student,I have never written code
18-21,Man,Kenya,Bachelor’s degree,Machine Learning Engineer,1-2 years
25-29,Woman,Turkey,Master’s degree,Student,< 1 years
25-29,Man,Brazil,Doctoral degree,Currently not employed,< 1 years
22-24,Man,India,Bachelor’s degree,Software Engineer,1-2 years
18-21,Man,India,Bachelor’s degree,Student,< 1 years
30-34,Man,Germany,Master’s degree,Software Engineer,10-20 years
25-29,Man,Pakistan,Bachelor’s degree,Student,< 1 years
30-34,Man,Nepal,Master’s degree,Data Analyst,5-10 years
18-21,Man,Spain,Master’s degree,,
50-54,Man,Spain,Some college/university study without earning a bachelor’s degree,Research Scientist,20+ years
18-21,Man,China,Bachelor’s degree,,
35-39,Woman,United States of America,Doctoral degree,Data Scientist,5-10 years
22-24,Woman,Other,Bachelor’s degree,Student,1-2 years
35-39,Woman,France,Doctoral degree,Research Scientist,10-20 years
18-21,Woman,Pakistan,Master’s degree,Data Scientist,< 1 years
18-21,Man,South Africa,Bachelor’s degree,Student,3-5 years
35-39,Nonbinary,United States of America,Master’s degree,,
25-29,Man,Other,,,
30-34,Man,Canada,Master’s degree,Data Scientist,5-10 years
18-21,Woman,Morocco,Master’s degree,DBA/Database Engineer,3-5 years
22-24,Man,Republic of Korea,Some college/university study without earning a bachelor’s degree,Student,< 1 years
18-21,Woman,Indonesia,Bachelor’s degree,Student,< 1 years
40-44,Man,India,Master’s degree,Other,I have never written code
18-21,Man,India,Bachelor’s degree,Other,< 1 years
22-24,Man,India,Bachelor’s degree,Student,3-5 years
45-49,Woman,Japan,I prefer not to answer,Currently not employed,I have never written code
30-34,Man,Japan,Doctoral degree,Student,3-5 years
22-24,Man,China,Master’s degree,Data Analyst,1-2 years
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
18-21,Woman,Bangladesh,Bachelor’s degree,Student,1-2 years
22-24,Woman,India,Master’s degree,Student,3-5 years
25-29,Man,India,Master’s degree,Business Analyst,I have never written code
25-29,Man,Pakistan,Master’s degree,Data Scientist,1-2 years
25-29,Man,United States of America,Doctoral degree,Currently not employed,5-10 years
25-29,Man,Canada,Bachelor’s degree,Machine Learning Engineer,5-10 years
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years
18-21,Man,India,,,
22-24,Woman,India,Master’s degree,Currently not employed,I have never written code
40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years
18-21,Man,Other,Bachelor’s degree,Student,1-2 years
50-54,Man,South Korea,Professional degree,Data Engineer,5-10 years
30-34,Man,India,Bachelor’s degree,Data Analyst,1-2 years
30-34,Man,Japan,Master’s degree,Product/Project Manager,1-2 years
22-24,Man,Bangladesh,Bachelor’s degree,Student,1-2 years
25-29,Woman,United States of America,Master’s degree,Statistician,3-5 years
30-34,Man,Pakistan,Doctoral degree,Other,1-2 years
60-69,Prefer to self-describe,United States of America,Doctoral degree,Other,I have never written code
30-34,Man,India,Doctoral degree,Research Scientist,3-5 years
30-34,Man,United States of America,Master’s degree,Data Analyst,10-20 years
22-24,Man,Nepal,Bachelor’s degree,Software Engineer,3-5 years
30-34,Woman,United States of America,Master’s degree,Currently not employed,10-20 years
45-49,Prefer not to say,Turkey,Master’s degree,Other,I have never written code
22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
40-44,Man,United States of America,Bachelor’s degree,Data Scientist,3-5 years
35-39,Man,Mexico,Master’s degree,Data Engineer,3-5 years
18-21,Man,Romania,Some college/university study without earning a bachelor’s degree,Student,3-5 years
25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years
30-34,Man,Brazil,Master’s degree,Research Scientist,10-20 years
35-39,Man,Other,Master’s degree,,
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
30-34,Prefer not to say,Israel,Bachelor’s degree,Software Engineer,10-20 years
40-44,Woman,Spain,Professional degree,Data Scientist,1-2 years
22-24,Woman,India,Master’s degree,Data Analyst,3-5 years
50-54,Man,Japan,Master’s degree,,
35-39,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years
55-59,Man,Chile,Professional degree,Data Scientist,< 1 years
22-24,Man,United States of America,Bachelor’s degree,Currently not employed,3-5 years
25-29,Man,United States of America,Bachelor’s degree,Student,< 1 years
55-59,Woman,Spain,Doctoral degree,Currently not employed,5-10 years
25-29,Man,Greece,Master’s degree,Machine Learning Engineer,< 1 years
18-21,Woman,India,Master’s degree,Student,3-5 years
35-39,Man,United States of America,Master’s degree,Data Scientist,10-20 years
30-34,Man,Russia,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years
22-24,Man,India,,,
18-21,Woman,India,Bachelor’s degree,Student,5-10 years
35-39,Man,Ukraine,Master’s degree,Other,1-2 years
30-34,Woman,United States of America,Master’s degree,Machine Learning Engineer,5-10 years
25-29,Man,China,Master’s degree,Other,< 1 years
22-24,Man,India,Master’s degree,Student,< 1 years
25-29,Man,Ghana,Bachelor’s degree,Data Scientist,< 1 years
30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years
25-29,Woman,Singapore,Master’s degree,Data Scientist,5-10 years
22-24,Man,Turkey,Master’s degree,Data Scientist,< 1 years
25-29,Man,Japan,Doctoral degree,Student,1-2 years
30-34,Prefer not to say,Other,Master’s degree,Research Scientist,3-5 years
18-21,Woman,India,Bachelor’s degree,Student,3-5 years
18-21,Man,China,Bachelor’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
60-69,Man,United States of America,Master’s degree,Software Engineer,20+ years
30-34,Man,Canada,Master’s degree,Machine Learning Engineer,3-5 years
30-34,Woman,Tunisia,Master’s degree,Data Scientist,< 1 years
25-29,Man,India,Master’s degree,Student,1-2 years
30-34,Man,India,Master’s degree,Business Analyst,3-5 years
25-29,Woman,Nigeria,Bachelor’s degree,Currently not employed,1-2 years
35-39,Man,Switzerland,Master’s degree,Data Analyst,3-5 years
22-24,Man,South Africa,Bachelor’s degree,Currently not employed,1-2 years
40-44,Man,India,Bachelor’s degree,Business Analyst,I have never written code
35-39,Man,France,Doctoral degree,Other,5-10 years
25-29,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years
30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,10-20 years
25-29,Woman,India,Master’s degree,Other,3-5 years
40-44,Woman,India,Doctoral degree,Student,3-5 years
18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 years
35-39,Man,Canada,Master’s degree,Data Scientist,1-2 years
22-24,Man,India,Master’s degree,Student,3-5 years
18-21,Man,India,Master’s degree,Student,3-5 years
30-34,Man,Italy,Master’s degree,Research Scientist,5-10 years
50-54,Man,Taiwan,Master’s degree,Other,1-2 years
25-29,Man,Canada,Master’s degree,Machine Learning Engineer,3-5 years
25-29,Man,China,Doctoral degree,Student,5-10 years
25-29,Man,Bangladesh,Master’s degree,Student,1-2 years
40-44,Man,Portugal,Master’s degree,Statistician,3-5 years
25-29,Man,Other,Bachelor’s degree,Data Analyst,I have never written code
18-21,Woman,Other,Bachelor’s degree,Student,< 1 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years
55-59,Man,Russia,Master’s degree,Data Scientist,3-5 years
35-39,Man,India,Bachelor’s degree,Business Analyst,< 1 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,5-10 years
25-29,Man,Other,Bachelor’s degree,,
22-24,Prefer not to say,France,Doctoral degree,Research Scientist,3-5 years
25-29,Man,Other,I prefer not to answer,Currently not employed,< 1 years
25-29,Man,Egypt,Master’s degree,Data Scientist,< 1 years
22-24,Man,Pakistan,Bachelor’s degree,Currently not employed,3-5 years
25-29,Man,India,Master’s degree,Data Analyst,1-2 years
45-49,Woman,United States of America,Doctoral degree,Currently not employed,10-20 years
30-34,Man,Brazil,Bachelor’s degree,Currently not employed,5-10 years
30-34,Man,Other,Master’s degree,Product/Project Manager,10-20 years
45-49,Man,Canada,Master’s degree,Business Analyst,20+ years
22-24,Woman,United States of America,Bachelor’s degree,Student,1-2 years
22-24,Woman,Russia,Bachelor’s degree,Student,1-2 years
22-24,Man,United States of America,Bachelor’s degree,Student,1-2 years
25-29,Man,India,Master’s degree,Data Analyst,I have never written code
25-29,Man,India,,,
30-34,Man,Other,No formal education past high school,Data Analyst,I have never written code
35-39,Man,Saudi Arabia,Doctoral degree,Machine Learning Engineer,5-10 years
40-44,Man,Russia,Doctoral degree,Software Engineer,20+ years
25-29,Man,China,Bachelor’s degree,Machine Learning Engineer,3-5 years
25-29,Man,Other,Master’s degree,Machine Learning Engineer,1-2 years
25-29,Woman,Other,Master’s degree,Research Scientist,3-5 years
18-21,Man,Nigeria,Bachelor’s degree,Student,< 1 years
40-44,Prefer not to say,India,Doctoral degree,Data Scientist,10-20 years
30-34,Man,Saudi Arabia,No formal education past high school,Business Analyst,
25-29,Man,Portugal,Master’s degree,Data Analyst,3-5 years
25-29,Prefer not to say,Argentina,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
25-29,Man,India,Doctoral degree,Student,5-10 years
25-29,Woman,India,Bachelor’s degree,Data Scientist,3-5 years
22-24,Man,India,Bachelor’s degree,Currently not employed,1-2 years
30-34,Man,Russia,I prefer not to answer,Data Scientist,< 1 years
35-39,Woman,Turkey,Doctoral degree,Machine Learning Engineer,10-20 years
22-24,Man,Brazil,Master’s degree,Data Scientist,3-5 years
30-34,Man,Turkey,Doctoral degree,Machine Learning Engineer,5-10 years
30-34,Woman,Poland,Doctoral degree,Currently not employed,1-2 years
30-34,Prefer to self-describe,Australia,Doctoral degree,Data Scientist,10-20 years
35-39,Woman,Other,Doctoral degree,Data Analyst,
60-69,Man,Ukraine,Professional degree,Research Scientist,5-10 years
35-39,Man,Spain,Master’s degree,Data Scientist,20+ years
22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years
22-24,Man,India,Bachelor’s degree,Student,I have never written code
40-44,Man,Poland,Master’s degree,Product/Project Manager,1-2 years
22-24,Woman,China,Master’s degree,Data Analyst,< 1 years
22-24,Man,China,Bachelor’s degree,,
30-34,Man,United States of America,Master’s degree,Other,< 1 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Man,Egypt,Bachelor’s degree,Student,< 1 years
25-29,Man,United States of America,Doctoral degree,Currently not employed,5-10 years
30-34,Man,Turkey,Bachelor’s degree,Student,
18-21,Man,India,Bachelor’s degree,Student,3-5 years
45-49,Woman,Brazil,Master’s degree,Research Scientist,< 1 years
25-29,Man,China,Bachelor’s degree,Data Analyst,< 1 years
45-49,Man,Germany,Master’s degree,Research Scientist,20+ years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years
35-39,Woman,India,Doctoral degree,Other,20+ years
35-39,Man,Japan,Master’s degree,Data Engineer,1-2 years
70+,Man,United States of America,Master’s degree,Research Scientist,20+ years
30-34,Man,Republic of Korea,Master’s degree,Data Analyst,< 1 years
40-44,Woman,Saudi Arabia,Master’s degree,Product/Project Manager,3-5 years
18-21,Man,India,Bachelor’s degree,Currently not employed,5-10 years
25-29,Woman,India,Master’s degree,Software Engineer,1-2 years
22-24,Woman,Taiwan,Professional degree,Product/Project Manager,1-2 years
55-59,Man,United States of America,Professional degree,Research Scientist,1-2 years
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years
30-34,Man,India,Master’s degree,Software Engineer,5-10 years
25-29,Man,Nigeria,Master’s degree,Software Engineer,3-5 years
18-21,Prefer not to say,Australia,No formal education past high school,Currently not employed,10-20 years
25-29,Man,India,Bachelor’s degree,Currently not employed,3-5 years
55-59,Man,India,Master’s degree,Currently not employed,5-10 years
25-29,Man,India,Master’s degree,Other,1-2 years
35-39,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years
35-39,Man,Bangladesh,Master’s degree,Product/Project Manager,1-2 years
30-34,Man,Peru,Professional degree,Student,< 1 years
30-34,Man,United States of America,Bachelor’s degree,Business Analyst,5-10 years
35-39,Man,Russia,Master’s degree,Student,< 1 years
35-39,Man,Turkey,Some college/university study without earning a bachelor’s degree,Other,1-2 years
40-44,Man,United Arab Emirates,Professional degree,Other,I have never written code
55-59,Man,Japan,Doctoral degree,Currently not employed,20+ years
30-34,Man,Other,No formal education past high school,Data Analyst,1-2 years
45-49,Man,Turkey,Doctoral degree,Data Scientist,10-20 years
40-44,Man,India,Bachelor’s degree,Data Scientist,10-20 years
22-24,Woman,India,Master’s degree,Student,3-5 years
25-29,Man,India,Bachelor’s degree,Data Scientist,5-10 years
50-54,Man,Other,Master’s degree,Other,5-10 years
22-24,Man,Kenya,Some college/university study without earning a bachelor’s degree,Student,1-2 years
25-29,Man,United States of America,Doctoral degree,Student,1-2 years
45-49,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
18-21,Man,Malaysia,Bachelor’s degree,Student,< 1 years
22-24,Man,India,Bachelor’s degree,Student,3-5 years
50-54,Man,Japan,Doctoral degree,Research Scientist,20+ years
35-39,Prefer not to say,India,Doctoral degree,Currently not employed,1-2 years
22-24,Man,Taiwan,Master’s degree,Data Engineer,3-5 years
30-34,Man,India,Bachelor’s degree,Data Analyst,5-10 years
35-39,Man,France,Master’s degree,Software Engineer,10-20 years
22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years
22-24,Man,Nepal,Master’s degree,Currently not employed,3-5 years
25-29,Prefer not to say,Turkey,Master’s degree,Other,5-10 years
40-44,Man,Malaysia,Doctoral degree,Research Scientist,10-20 years
25-29,Woman,Netherlands,Master’s degree,Business Analyst,1-2 years
40-44,Man,India,Master’s degree,Data Scientist,5-10 years
40-44,Man,United States of America,Bachelor’s degree,Other,10-20 years
25-29,Man,Colombia,Professional degree,Software Engineer,3-5 years
35-39,Woman,India,Doctoral degree,Other,3-5 years
30-34,Woman,United States of America,Bachelor’s degree,Other,3-5 years
18-21,Man,Poland,Bachelor’s degree,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
25-29,Man,India,Master’s degree,Student,3-5 years
25-29,Man,Nepal,Bachelor’s degree,Other,1-2 years
22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years
18-21,Man,Israel,Bachelor’s degree,Student,1-2 years
50-54,Man,United States of America,Master’s degree,Data Scientist,20+ years
18-21,Man,Russia,Bachelor’s degree,Currently not employed,10-20 years
25-29,Man,India,Master’s degree,Data Analyst,3-5 years
40-44,Man,Other,Doctoral degree,Research Scientist,10-20 years
35-39,Man,Netherlands,Master’s degree,Product/Project Manager,10-20 years
25-29,Woman,Brazil,Bachelor’s degree,Student,3-5 years
22-24,Man,India,Doctoral degree,Machine Learning Engineer,1-2 years
55-59,Man,Germany,Professional degree,Product/Project Manager,20+ years
22-24,Man,India,Master’s degree,Student,< 1 years
22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years
22-24,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
22-24,Man,India,Bachelor’s degree,Student,3-5 years
25-29,Man,Russia,No formal education past high school,Currently not employed,3-5 years
22-24,Man,Nepal,Bachelor’s degree,Data Scientist,3-5 years
25-29,Man,Indonesia,Bachelor’s degree,Currently not employed,5-10 years
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years
40-44,Man,Other,,,
30-34,Man,Other,Bachelor’s degree,Data Scientist,3-5 years
25-29,Man,South Korea,Master’s degree,Research Scientist,3-5 years
22-24,Man,Mexico,Master’s degree,Business Analyst,1-2 years
25-29,Man,Romania,Doctoral degree,Data Scientist,5-10 years
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
35-39,Man,Other,Master’s degree,Product/Project Manager,1-2 years
30-34,Man,Other,Doctoral degree,Research Scientist,3-5 years
35-39,Man,United States of America,Master’s degree,Other,1-2 years
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
35-39,Man,Japan,Master’s degree,Software Engineer,10-20 years
22-24,Man,China,Bachelor’s degree,Machine Learning Engineer,3-5 years
22-24,Man,Turkey,Master’s degree,Machine Learning Engineer,3-5 years
22-24,Man,Indonesia,Bachelor’s degree,Data Scientist,3-5 years
55-59,Man,Switzerland,Master’s degree,Other,< 1 years
25-29,Man,Indonesia,Master’s degree,Software Engineer,3-5 years
25-29,Man,Taiwan,Master’s degree,Data Scientist,1-2 years
35-39,Man,Portugal,Bachelor’s degree,Product/Project Manager,I have never written code
18-21,Man,South Korea,No formal education past high school,Student,1-2 years
30-34,Man,United States of America,Master’s degree,Other,5-10 years
25-29,Man,India,Master’s degree,Software Engineer,1-2 years
22-24,Man,Germany,Master’s degree,Student,3-5 years
60-69,Man,United States of America,Master’s degree,Other,20+ years
22-24,Man,India,Bachelor’s degree,Currently not employed,3-5 years
35-39,Man,United States of America,Doctoral degree,Product/Project Manager,10-20 years
35-39,Man,Thailand,I prefer not to answer,Other,5-10 years
50-54,Man,Portugal,Master’s degree,Business Analyst,1-2 years
45-49,Man,India,Master’s degree,Software Engineer,10-20 years
50-54,Man,Russia,Bachelor’s degree,Software Engineer,10-20 years
30-34,Man,Other,Bachelor’s degree,Software Engineer,3-5 years
22-24,Man,India,Bachelor’s degree,Student,1-2 years
40-44,Man,Japan,Master’s degree,Data Analyst,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
70+,Man,Germany,Master’s degree,Currently not employed,20+ years
30-34,Man,Russia,No formal education past high school,Software Engineer,3-5 years
18-21,Man,India,,,
30-34,Man,Germany,Doctoral degree,Product/Project Manager,3-5 years
30-34,Woman,Ukraine,Master’s degree,Data Analyst,10-20 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
45-49,Man,Thailand,Doctoral degree,Other,20+ years
22-24,Man,Bangladesh,Master’s degree,Student,3-5 years
22-24,Man,United States of America,Doctoral degree,Student,5-10 years
30-34,Man,Morocco,Professional degree,Software Engineer,< 1 years
25-29,Man,United States of America,Some college/university study without earning a bachelor’s degree,,
35-39,Man,United States of America,Master’s degree,Product/Project Manager,I have never written code
25-29,Man,Canada,Professional degree,Data Scientist,< 1 years
25-29,Man,India,Bachelor’s degree,Business Analyst,I have never written code
22-24,Woman,India,Master’s degree,Machine Learning Engineer,3-5 years
22-24,Woman,India,Bachelor’s degree,Currently not employed,< 1 years
25-29,Woman,United States of America,Master’s degree,Student,3-5 years
60-69,Man,Japan,Bachelor’s degree,Product/Project Manager,I have never written code
18-21,Man,India,Bachelor’s degree,Student,3-5 years
18-21,Man,Malaysia,Some college/university study without earning a bachelor’s degree,Student,1-2 years
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years
25-29,Nonbinary,Other,Master’s degree,Business Analyst,1-2 years
25-29,Woman,Other,Master’s degree,Data Analyst,< 1 years
22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years
25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years
18-21,Man,United States of America,Bachelor’s degree,Student,5-10 years
22-24,Woman,Nigeria,Bachelor’s degree,Currently not employed,< 1 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
40-44,Man,Spain,Doctoral degree,Software Engineer,5-10 years
55-59,Man,United States of America,No formal education past high school,Software Engineer,10-20 years
30-34,Man,Spain,Bachelor’s degree,Software Engineer,5-10 years
18-21,Woman,India,Bachelor’s degree,Currently not employed,3-5 years
25-29,Man,India,Master’s degree,Currently not employed,1-2 years
22-24,Man,Japan,Bachelor’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,< 1 years
30-34,Man,India,Master’s degree,Currently not employed,1-2 years
25-29,Man,Japan,Master’s degree,Student,5-10 years
22-24,Man,Other,Bachelor’s degree,Software Engineer,1-2 years
25-29,Man,India,Master’s degree,Machine Learning Engineer,3-5 years
22-24,Man,India,Master’s degree,Software Engineer,1-2 years
35-39,Man,Russia,Professional degree,Data Analyst,1-2 years
50-54,Man,United States of America,Doctoral degree,Data Scientist,20+ years
22-24,Man,India,Bachelor’s degree,Business Analyst,I have never written code
18-21,Man,India,Bachelor’s degree,Student,1-2 years
30-34,Man,Brazil,Bachelor’s degree,Other,3-5 years
22-24,Man,India,Bachelor’s degree,Data Scientist,1-2 years
40-44,Man,Switzerland,Doctoral degree,Research Scientist,20+ years
30-34,Woman,India,Bachelor’s degree,Software Engineer,5-10 years
18-21,Man,India,Professional degree,Student,< 1 years
25-29,Man,India,Master’s degree,Software Engineer,1-2 years
18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years
40-44,Woman,Nigeria,Bachelor’s degree,Data Analyst,1-2 years
40-44,Man,Republic of Korea,Master’s degree,Business Analyst,1-2 years
18-21,Man,Ukraine,Bachelor’s degree,Student,3-5 years
18-21,Woman,India,Master’s degree,Student,< 1 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-2 years
18-21,Man,Australia,Some college/university study without earning a bachelor’s degree,Student,5-10 years
30-34,Man,Mexico,Doctoral degree,Software Engineer,5-10 years
40-44,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
50-54,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years
18-21,Man,United States of America,Bachelor’s degree,Software Engineer,3-5 years
30-34,Woman,China,Bachelor’s degree,Data Engineer,1-2 years
25-29,Man,Other,Bachelor’s degree,Software Engineer,3-5 years
35-39,Man,Other,Bachelor’s degree,Machine Learning Engineer,3-5 years
25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,5-10 years
50-54,Woman,Colombia,Doctoral degree,Data Scientist,20+ years
35-39,Man,Colombia,Master’s degree,Software Engineer,5-10 years
25-29,Woman,United States of America,Master’s degree,Data Scientist,1-2 years
22-24,Man,Turkey,Bachelor’s degree,Data Scientist,5-10 years
40-44,Man,Republic of Korea,Bachelor’s degree,Machine Learning Engineer,5-10 years
30-34,Man,South Africa,Master’s degree,Statistician,3-5 years
25-29,Man,India,Master’s degree,Data Analyst,< 1 years
22-24,Man,India,Professional degree,Other,1-2 years
22-24,Woman,Malaysia,Bachelor’s degree,Student,I have never written code
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
22-24,Woman,Pakistan,Master’s degree,Student,3-5 years
18-21,Woman,Indonesia,I prefer not to answer,Data Analyst,1-2 years
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Analyst,1-2 years
